특별시,구 ,도로명 주소,위치좌표
서울,강남구,서울 강남구 학동로 426 강남구청 별관 1동,"X :127.047466, Y :37.5175526"
서울,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,"X :127.136775, Y :37.5450364"
서울,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,"X :127.011887, Y :37.6479071"
서울,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,"X :126.835088, Y :37.5446546"
서울,관악구,서울 관악구 신림동길 14 신림동 주민센터,"X :126.927096, Y :37.4873998"
서울,광진구,서울 광진구 광나루로 571 구의아리정수센터,"X :127.095405, Y :37.5451487"
서울,구로구,서울 구로구 가마산로 27길 45 구로고등학교,"X :126.889924, Y :37.4985069"
서울,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,"X :126.908279, Y :37.4523373"
서울,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),"X :127.067815, Y :37.6574572"
서울,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,"X :127.028988, Y :37.6542922"
서울,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,"X :127.029401, Y :37.5758886"
서울,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,"X :126.971557, Y :37.4809502"
서울,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,"X :126.905842, Y :37.5555630"
서울,서대문구,서울 서대문구 세검정로4길 32(홍제3동 주민센터) ,"X :126.949602, Y :37.5938553"
서울,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,"X :126.994450, Y :37.5045780"
서울,성동구,서울시 성동구 뚝섬로3길 18 성수1가1동주민센터,"X :127.049631, Y :37.5419777"
서울,성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,"X :127.027272, Y :37.6066578"
서울,송파구,서울시 송파구 백제고분로 236(삼전동 주민센터) ,"X :127.092524, Y :37.5027590"
서울,양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,"X :126.856613, Y :37.5259603"
서울,영등포구,서울 영등포구 양산로23길 11 당산1동 주민센터,"X :126.897419, Y :37.5249671"
서울,용산구,서울 용산구 한남대로 136 서울특별시중부기술교육원,"X :127.005049, Y :37.5400864"
서울,은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),"X :126.933712, Y :37.6102452"
서울,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터","X :127.005005, Y :37.5720356"
서울,중구,서울특별시 중구 덕수궁길 15 시청서소문별관 3동,"X :126.973720, Y :37.5643110"
서울,중랑구,서울 중랑구 용마산로 369 건강가정지원센터,"X :127.094096, Y :37.5848564"
