지점,2018-04-01,2018-04-02,2018-04-03,2018-04-04,2018-04-05,2018-04-06,2018-04-07,2018-04-08,2018-04-09,2018-04-10,2018-04-11,2018-04-12,2018-04-13,2018-04-14,2018-04-15,2018-04-16,2018-04-17,2018-04-18,2018-04-19,2018-04-20,2018-04-21,2018-04-22,2018-04-23,2018-04-24,2018-04-25,2018-04-26,2018-04-27,2018-04-28,2018-04-29,2018-04-30,
강남구,33,27,19,6,3,22,21,12,26,19,22,13,12,10,19,21,28,34,36,53,40,18,7,4,24,28,36,38,31,56,-
강동구,42,34,25,10,5,30,28,17,23,19,30,18,16,15,26,26,34,45,52,67,54,28,8,8,32,40,42,43,37,67,-
강북구,29,24,20,3,1,27,20,11,19,16,20,9,9,8,16,16,25,27,37,47,34,18,4,3,18,24,30,33,25,48,-
강서구,34,27,19,6,3,27,19,13,28,19,20,17,15,11,18,22,30,31,37,52,37,20,6,5,23,31,41,36,33,52,-
관악구,37,28,20,9,8,33,22,19,36,24,32,17,18,15,28,27,35,41,42,62,42,23,9,6,31,34,50,44,38,66,-
광진구,31,24,18,6,4,21,21,13,21,18,21,13,13,11,20,20,27,32,35,47,38,18,5,5,23,27,34,38,29,50,-
구로구,44,35,24,9,6,39,27,17,24,20,29,20,18,16,23,27,38,41,39,52,41,25,8,4,21,27,39,34,29,50,-
금천구,31,24,17,7,4,23,20,15,27,18,20,15,15,12,20,23,29,34,33,42,32,18,7,5,24,26,35,33,28,47,-
노원구,32,26,20,6,4,24,23,14,21,19,22,13,14,11,18,20,27,28,38,46,36,21,6,5,22,27,33,36,28,48,-
도봉구,44,37,26,11,-,45,27,16,23,17,28,16,16,14,25,25,31,32,46,58,42,28,8,7,30,35,38,38,36,61,-
동대문구,32,27,18,6,3,22,22,14,27,20,21,14,13,10,18,21,29,32,40,54,41,20,5,4,25,29,38,40,31,54,-
동작구,32,25,17,5,2,23,20,13,24,18,21,12,12,11,20,22,31,35,36,49,36,19,5,4,25,26,37,35,29,52,-
마포구,34,28,23,7,6,31,21,18,35,22,25,16,13,13,24,23,29,32,38,66,38,17,6,3,23,32,45,41,33,61,-
서대문구,35,27,23,6,3,29,20,14,30,20,25,16,12,10,23,22,30,32,44,62,42,19,6,5,23,35,53,47,39,69,-
서초구,41,33,24,10,5,29,24,16,23,22,28,17,16,15,25,26,32,37,42,56,45,25,7,6,22,24,35,36,29,53,-
성동구,43,35,26,9,6,30,27,16,23,21,29,18,17,14,25,28,37,39,45,64,47,27,8,4,-,36,43,42,38,68,-
성북구,34,28,21,7,4,22,22,14,21,19,22,15,17,10,19,23,27,28,37,50,35,25,6,8,26,29,34,31,30,52,-
송파구,41,33,25,8,5,28,24,15,21,20,27,16,16,13,22,24,32,36,42,59,42,24,7,6,29,36,41,23,25,49,-
양천구,35,27,20,5,3,25,20,14,29,19,21,15,15,11,20,23,31,36,37,55,38,20,5,4,22,32,42,39,34,58,-
영등포구,38,29,23,7,6,31,22,16,35,25,33,20,16,15,27,26,37,42,45,70,47,23,7,6,27,40,55,47,43,68,-
용산구,40,33,25,8,4,32,26,17,29,21,24,14,12,10,20,21,31,36,40,59,43,20,5,4,26,30,42,42,34,58,-
은평구,35,28,23,7,5,29,22,14,28,19,25,12,14,13,26,24,31,31,43,61,38,22,8,7,23,35,51,45,37,70,-
종로구,27,24,17,5,4,20,20,12,22,18,20,14,13,11,17,20,25,27,34,46,35,18,6,4,22,26,34,34,28,47,-
중구,28,22,16,6,5,19,19,12,24,18,18,13,13,11,18,19,25,27,35,47,36,18,6,5,21,27,36,36,29,50,-
중랑구,31,24,17,5,2,21,20,12,20,19,22,12,12,10,19,18,26,29,37,48,36,17,4,4,22,25,35,40,31,55,-
